delta_T_C,B10_cycles,B10_hours,median_cycles,median_hours,evidential_regime,warning
175.0,75.81202903027332,227.43608709081997,142.40542158883596,427.2162647665079,extrapolative model-conditional,Above tested range; may be invalid if new mechanisms or rating limits activate.
200.0,54.76190958604257,164.2857287581277,102.86484772088146,308.59454316264436,extrapolative model-conditional,Above tested range; may be invalid if new mechanisms or rating limits activate.
