quantity,mean,median,sd,eti_2.5%,eti_97.5%
use_median_cycles,7883.811359087223,7349.617125344208,2809.113790946873,3888.9357869968712,14660.265259482565
use_B10_cycles,4090.5865330138354,3845.7577195717117,1490.935095727526,1895.836154477829,7610.11173634284
