delta_T_C,metric_scope,n_points,rmse_log_cycles,multiplicative_rmse,pseudo_R2,warning
75.0,stress_observed_failures,5,0.5164650871116446,1.6760923250895814,,Descriptive over observed failures only; NOT a primary metric for right-censored inference. Stress-wise pseudo_R2 is not reported because the fitted stress-life predictor is constant within each stress group.
100.0,stress_observed_failures,8,0.49820034725280693,1.645756813233064,,Descriptive over observed failures only; NOT a primary metric for right-censored inference. Stress-wise pseudo_R2 is not reported because the fitted stress-life predictor is constant within each stress group.
125.0,stress_observed_failures,8,0.33492380974762,1.397833879849092,,Descriptive over observed failures only; NOT a primary metric for right-censored inference. Stress-wise pseudo_R2 is not reported because the fitted stress-life predictor is constant within each stress group.
150.0,stress_observed_failures,8,0.25470829662294875,1.2900852437580328,,Descriptive over observed failures only; NOT a primary metric for right-censored inference. Stress-wise pseudo_R2 is not reported because the fitted stress-life predictor is constant within each stress group.
