parameter,mean,median,sd,eti_2.5%,eti_97.5%,hpd_2.5%,hpd_97.5%
k,2.9051838426138565,2.8951553354767663,0.3917883471495121,2.171129870892051,3.7056340047500806,2.1503657344372256,3.6743894722343966
beta1,2.4641535737463207,2.458146144501661,0.2819196065712078,1.917221333919772,3.027315694111431,1.8935186583776566,2.9982908436874136
beta0,17.803981062049356,17.772661090440955,1.335346083456576,15.224852229364153,20.476798688190822,15.171220069392293,20.40085401980649
