delta_T,b10_lower95_min,b10_upper95_max,b10_median_min,b10_median_max,medianlife_lower95_min,medianlife_upper95_max,medianlife_median_min,medianlife_median_max
10.0,47.51576429150288,2187446.8875955134,10426.75308812554,83427.56254488898,84.37740100040045,4323588.615285119,19523.762525704675,159784.9453089531
15.0,176.16639154579215,303537.84517936385,7367.728562878154,30809.612037583043,313.39199799567996,601700.2764278452,13806.1214559092,58930.76188886175
20.0,344.7380028219068,82428.73736868637,5365.427663864315,15187.621443658561,613.6263764597117,163754.3160879985,10075.930760555175,29113.575525807028
25.0,497.9535557467087,32407.179562177225,4032.3061699534933,8772.765087181411,888.7673933352793,63287.46396942061,7560.543247965332,16815.57576773039
35.0,672.2902352082774,8983.044355527381,2442.794406668195,3845.7577195717117,1222.7238705832528,17106.900284617503,4563.090189720089,7349.617125344208
