delta_T_C,mission_cycles,posterior_probability_B10_exceeds_mission
12.0,10000.0,0.9954666666666667
12.25,10000.0,0.9947666666666667
12.5,10000.0,0.9937333333333334
12.75,10000.0,0.99235
13.0,10000.0,0.99115
13.25,10000.0,0.98975
13.5,10000.0,0.9884166666666667
13.75,10000.0,0.9869
14.0,10000.0,0.9844666666666667
14.25,10000.0,0.9824833333333334
14.5,10000.0,0.9792666666666666
14.75,10000.0,0.9761166666666666
15.0,10000.0,0.9739833333333333
15.25,10000.0,0.9708166666666667
15.5,10000.0,0.9670166666666666
15.75,10000.0,0.9619166666666666
16.0,10000.0,0.9570166666666666
16.25,10000.0,0.9525333333333333
16.5,10000.0,0.94715
16.75,10000.0,0.9419333333333333
17.0,10000.0,0.9346333333333333
17.25,10000.0,0.9289333333333334
17.5,10000.0,0.9211166666666667
17.75,10000.0,0.9119333333333334
18.0,10000.0,0.9020833333333333
18.25,10000.0,0.8903166666666666
18.5,10000.0,0.8804833333333333
18.75,10000.0,0.8692
19.0,10000.0,0.8564333333333334
19.25,10000.0,0.8427666666666667
19.5,10000.0,0.83095
19.75,10000.0,0.8167166666666666
20.0,10000.0,0.8004666666666667
20.25,10000.0,0.7844
20.5,10000.0,0.7671833333333333
20.75,10000.0,0.7493833333333333
21.0,10000.0,0.7309333333333333
21.25,10000.0,0.71015
21.5,10000.0,0.68915
21.75,10000.0,0.67125
22.0,10000.0,0.6494166666666666
22.25,10000.0,0.6297333333333334
22.5,10000.0,0.60895
22.75,10000.0,0.5880833333333333
23.0,10000.0,0.56625
23.25,10000.0,0.5441333333333334
23.5,10000.0,0.5209166666666667
23.75,10000.0,0.4967666666666667
24.0,10000.0,0.47573333333333334
24.25,10000.0,0.45326666666666665
24.5,10000.0,0.4298
24.75,10000.0,0.40918333333333334
25.0,10000.0,0.3871
25.25,10000.0,0.3677666666666667
25.5,10000.0,0.3457
25.75,10000.0,0.32225
26.0,10000.0,0.3033
26.25,10000.0,0.28291666666666665
26.5,10000.0,0.26388333333333336
26.75,10000.0,0.24698333333333333
27.0,10000.0,0.22993333333333332
27.25,10000.0,0.21283333333333335
27.5,10000.0,0.19468333333333335
27.75,10000.0,0.1778
28.0,10000.0,0.16235
28.25,10000.0,0.14938333333333334
28.5,10000.0,0.13605
28.75,10000.0,0.1236
29.0,10000.0,0.1105
29.25,10000.0,0.09896666666666666
29.5,10000.0,0.08736666666666666
29.75,10000.0,0.07896666666666667
30.0,10000.0,0.06968333333333333
30.25,10000.0,0.062183333333333334
30.5,10000.0,0.0555
30.75,10000.0,0.04875
