prior_setting,delta_T_C,B10_q2_5,B10_q50,B10_q97_5,median_shift_percent_vs_baseline,width_ratio_vs_baseline,evidential_regime,interpretation_note
baseline,20.0,5438.165645140409,15411.104687693367,40510.1939810769,0.0,1.0,extrapolative model-conditional,Prior sensitivity is evaluated conditional on the PICM-L stress-life form; structural model-form uncertainty remains separate.
baseline,25.0,3547.367640262164,8890.920648555079,20774.074733561847,0.0,1.0,tested survival-constrained,Prior sensitivity is evaluated conditional on the PICM-L stress-life form; structural model-form uncertainty remains separate.
baseline,35.0,1857.315542783925,3856.15686950761,7605.3486861511565,0.0,1.0,near-boundary model-conditional,Prior sensitivity is evaluated conditional on the PICM-L stress-life form; structural model-form uncertainty remains separate.
diffuse,20.0,5084.185964665572,14523.877483867955,47057.29953697928,-5.757064284521492,1.196768922808665,extrapolative model-conditional,Prior sensitivity is evaluated conditional on the PICM-L stress-life form; structural model-form uncertainty remains separate.
diffuse,25.0,3376.6423796669774,8397.374092591566,23628.765164184864,-5.551129916379601,1.1756235637392904,tested survival-constrained,Prior sensitivity is evaluated conditional on the PICM-L stress-life form; structural model-form uncertainty remains separate.
diffuse,35.0,1790.4254722262888,3712.356488689519,8316.037522984796,-3.729111280590937,1.1352773875857933,near-boundary model-conditional,Prior sensitivity is evaluated conditional on the PICM-L stress-life form; structural model-form uncertainty remains separate.
conservative,20.0,6538.014187978732,15382.47326534523,36711.139249603155,-0.18578436087713146,0.8603187923039962,extrapolative model-conditional,Prior sensitivity is evaluated conditional on the PICM-L stress-life form; structural model-form uncertainty remains separate.
conservative,25.0,4182.48732444314,8879.710816109307,19035.00896498376,-0.12608179612527395,0.8621799604590421,tested survival-constrained,Prior sensitivity is evaluated conditional on the PICM-L stress-life form; structural model-form uncertainty remains separate.
conservative,35.0,2090.102691146268,3864.069065241184,7065.354675764286,0.20518345081185743,0.8655572889935507,near-boundary model-conditional,Prior sensitivity is evaluated conditional on the PICM-L stress-life form; structural model-form uncertainty remains separate.
