delta_T,n_failed,n_censored,min_cycles,max_cycles,median_cycles
25,0,8,533.3333333333334,533.3333333333334,533.3333333333334
50,0,8,533.3333333333334,533.3333333333334,533.3333333333334
75,5,3,624.3333333333334,1066.6666666666667,706.1666666666666
100,8,0,240.0,939.3333333333334,681.1666666666666
125,8,0,208.0,530.3333333333334,407.3333333333333
150,8,0,136.66666666666666,287.0,196.16666666666666
