prior_setting,k_prior_family,k_trunc_lower,k_effective_mean,k_effective_sd,k_effective_q2_5,k_effective_q50,k_effective_q97_5,normalizing_prob_k_gt_lower
baseline,Gamma_truncated_lower,1.0,3.008132439397151,0.9931665508702623,1.407111593900885,2.894315655324732,5.256751095038254,0.996197007938324
diffuse,Gamma_truncated_lower,1.0,3.0366972477064222,1.201502159986048,1.243433660740672,2.8597473288240605,5.8476882693012415,0.9834363915193856
conservative,Gamma_truncated_lower,1.0,3.001926299979131,0.8640748025517884,1.5584646867521168,2.918068117087347,4.920979279472395,0.99908477085273
