parameter,MLE,MLE_SE,Firth,Firth_SE,Firth_role,Firth_ridge_trigger_count,Firth_rejected_hessian_count,Bayes_mean,Bayes_median,Bayes_ETI_2.5%,Bayes_ETI_97.5%,Bayes_HPD_2.5%,Bayes_HPD_97.5%
k,2.988247722409055,0.4265694010392776,3.006226520942891,0.2924982067862253,"point-estimate consistency check; covariance ridge-stabilised, not used for inference",980,368,2.9051838426138565,2.8951553354767663,2.171129870892051,3.7056340047500806,2.1503657344372256,3.6743894722343966
beta1,2.435847453312214,0.31530040738710247,2.4411073116580946,0.20286428303873186,"point-estimate consistency check; covariance ridge-stabilised, not used for inference",980,368,2.4641535737463207,2.458146144501661,1.917221333919772,3.027315694111431,1.8935186583776566,2.9982908436874136
beta0,17.661960284188186,1.4917073709260191,17.67791836357579,0.9605809216652142,"point-estimate consistency check; covariance ridge-stabilised, not used for inference",980,368,17.803981062049356,17.772661090440955,15.224852229364153,20.476798688190822,15.171220069392293,20.40085401980649
