unit_id,ttf_hours,cycles,event
E03_U08,720,240.0,1
E03_U07,798,266.0,1
E03_U01,1398,466.0,1
E03_U04,2030,676.6666666666666,1
E03_U02,2057,685.6666666666666,1
E03_U03,2370,790.0,1
E03_U06,2678,892.6666666666666,1
E03_U05,2818,939.3333333333334,1
