delta_T_C,n_total,n_failed,k_hat,eta_hat_cycles,k_ci_lower,k_ci_upper,bootstrap_bias,k_hat_bias_corrected,k_ci_bias_corrected_lower,k_ci_bias_corrected_upper,pooled_picm_l_k,pooled_k_inside_ci,pooled_k_inside_ci_bias_corrected,bootstrap_seed,n_boot_requested,n_boot_effective,interpretation_note
100.0,8,8,2.790994010402513,698.0313224130423,1.8863901145415132,7.426982842952022,0.5136799997895345,2.2773140106129786,1.3727101147519787,6.913302843162487,2.988247722409055,True,True,20261221,2000,2000,"The group-specific shapes are estimated from n=8 complete failures each; the maximum-likelihood shape is positively biased at this sample size. The intervals are wide and mutually overlapping, and a likelihood-ratio test does not provide significant evidence for stress-specific shapes. The common shape is retained for parsimony and identifiability, not as proof of physically common dispersion."
125.0,8,8,3.873269864909396,404.2861043965646,2.7970027350133932,10.200159368820886,0.8904236293750385,2.9828462355343577,1.9065791056383548,9.309735739445848,2.988247722409055,True,True,20261221,2000,2000,"The group-specific shapes are estimated from n=8 complete failures each; the maximum-likelihood shape is positively biased at this sample size. The intervals are wide and mutually overlapping, and a likelihood-ratio test does not provide significant evidence for stress-specific shapes. The common shape is retained for parsimony and identifiability, not as proof of physically common dispersion."
150.0,8,8,4.323342720879897,210.28949971977147,3.397918874303399,12.563367130825348,1.3908270005799528,2.9325157202999446,2.007091873723446,11.172540130245396,2.988247722409055,False,True,20261221,2000,2000,"The group-specific shapes are estimated from n=8 complete failures each; the maximum-likelihood shape is positively biased at this sample size. The intervals are wide and mutually overlapping, and a likelihood-ratio test does not provide significant evidence for stress-specific shapes. The common shape is retained for parsimony and identifiability, not as proof of physically common dispersion."
