mission_cycles,probability_level,delta_T_crossing_C,crossing_regime,interpretation_note
5000.0,0.5,31.447498104624717,near-boundary model-conditional,"The crossings are posterior decision summaries conditional on PICM-L, not standalone model-free acceptance criteria. The spread of crossing temperatures shows uncertainty in the boundary."
5000.0,0.9,25.010692464358453,near-boundary model-conditional,"The crossings are posterior decision summaries conditional on PICM-L, not standalone model-free acceptance criteria. The spread of crossing temperatures shows uncertainty in the boundary."
5000.0,0.95,23.05711920529802,extrapolative model-conditional,"The crossings are posterior decision summaries conditional on PICM-L, not standalone model-free acceptance criteria. The spread of crossing temperatures shows uncertainty in the boundary."
10000.0,0.5,23.716528640441684,extrapolative model-conditional,"The crossings are posterior decision summaries conditional on PICM-L, not standalone model-free acceptance criteria. The spread of crossing temperatures shows uncertainty in the boundary."
10000.0,0.9,18.04426345609065,extrapolative model-conditional,"The crossings are posterior decision summaries conditional on PICM-L, not standalone model-free acceptance criteria. The spread of crossing temperatures shows uncertainty in the boundary."
10000.0,0.95,16.367647058823533,extrapolative model-conditional,"The crossings are posterior decision summaries conditional on PICM-L, not standalone model-free acceptance criteria. The spread of crossing temperatures shows uncertainty in the boundary."
